"Transcript","Adipose_Subcutaneous","Adipose_Visceral_Omentum_","Adrenal_Gland","Artery_Aorta","Artery_Coronary","Artery_Tibial","Bladder","Brain_Amygdala","Brain_Anterior_cingulate_cortex_BA24_","Brain_Caudate_basal_ganglia_","Brain_Cerebellar_Hemisphere","Brain_Cerebellum","Brain_Cortex","Brain_Frontal_Cortex_BA9_","Brain_Hippocampus","Brain_Hypothalamus","Brain_Nucleus_accumbens_basal_ganglia_","Brain_Putamen_basal_ganglia_","Brain_Spinal_cord_cervical_c_1_","Brain_Substantia_nigra","Breast_Mammary_Tissue","Cells_Cultured_fibroblasts","Cells_EBV_transformed_lymphocytes","Cells_Leukemia_cell_line_CML_","Cervix_Ectocervix","Cervix_Endocervix","Colon_Sigmoid","Colon_Transverse","Esophagus_Gastroesophageal_Junction","Esophagus_Mucosa","Esophagus_Muscularis","Fallopian_Tube","Heart_Atrial_Appendage","Heart_Left_Ventricle","Kidney_Cortex","Kidney_Medulla","Liver","Lung","Minor_Salivary_Gland","Muscle_Skeletal","Nerve_Tibial","Ovary","Pancreas","Pituitary","Prostate","Skin_Not_Sun_Exposed_Suprapubic_","Skin_Sun_Exposed_Lower_leg_","Small_Intestine_Terminal_Ileum","Spleen","Stomach","Testis","Thyroid","Uterus","Vagina","Whole_Blood"
"ENST00000343523",1.674886878,0.597319778,0.146511628,1.366111111,2.033083333,2.983695324,3.025238095,0.441644737,0.474886364,0.872682927,0.225488372,0.270041494,0.480156863,0.519904306,0.255025381,0.232079208,0.421463415,0.644878049,0.350314465,0.246043165,0.692156863,0.008650794,0.017528736,NA,0.306666667,0.576,6.469678284,2.844753695,2.943626667,0.227009009,4.244271845,0.882222222,1.403286713,1.934583333,0.026588235,0.04,0.099955752,0.219359862,0.340493827,8.26890411,25.59219709,0.248722222,0.031158537,0.088127208,0.71844898,0.304850993,0.379643367,1.293048128,0.043195021,1.187103064,0.205207756,0.178315467,0.872042254,0.717051282,0.005046358
"ENST00000357033",1.726349925,0.893807763,0.53120155,9.759953704,5.971625,7.770844646,2.670952381,0.141644737,0.105625,0.100569106,0.050744186,0.177344398,0.18627451,0.09,0.215228426,0.215594059,0.071341463,0.054536585,0.366855346,0.201366906,1.470413943,0.409027778,0.000114943,NA,1.496666667,1.74,4.86152815,2.162931034,3.695626667,0.233801802,4.318466019,3.164444444,4.002214452,2.185509259,0.119058824,0.015,0.060530973,1.028217993,0.938703704,7.387758406,3.692180937,1.414666667,0.01972561,0.130141343,1.358408163,0.323675497,0.521768902,1.082834225,0.051078838,1.296713092,0.577451524,0.478820827,4.480352113,1.173333333,0.000357616
"ENST00000359836",0.012594268,0.005286506,0.007596899,0.021898148,0.034208333,0.041870287,0.007142857,0.023355263,0.004488636,0.024268293,0.28,0.192489627,0.019215686,0.013014354,0.020152284,0.009653465,0.016219512,0.024195122,0.07427673,0.021798561,0.016797386,0,0,NA,0,0.032,0.040321716,0.033152709,0.02152,0.017009009,0.015184466,0.016666667,0.00974359,0.0025,0.002588235,0,0.054646018,0.002197232,0.013765432,0,0.326429725,0.018277778,0.000914634,0.025583039,0.014979592,0.002384106,0.00746077,0.025775401,0.002365145,0.018328691,0.001939058,0.004594181,0.03056338,0.016089744,0.000384106
"ENST00000361471",0.81254902,0.528743068,0.653682171,0.34125,0.201666667,0.102624434,0.600952381,0.061447368,0.069943182,0.195203252,0.005116279,0.000165975,0.079882353,0.109282297,0.033045685,0.048316832,0.12695122,0.119560976,0.043710692,0.044388489,0.46416122,0.381190476,1.168735632,NA,0.121111111,0.119,0.105522788,0.033054187,0.067786667,0.050810811,0.058135922,0.064444444,0.075174825,0.025208333,0.092,0.065,0.222699115,0.342543253,0.802160494,0.012092154,0.924927302,0.612722222,0.421859756,0.150565371,0.172204082,0.626274834,0.55660485,0.039893048,0.019211618,0.187158774,0.469141274,0.573108729,0.152464789,0.133717949,0.003549669
"ENST00000378677",0.019441931,0.026913124,0.023178295,0.035555556,0.024541667,0.04147813,0.078571429,0.106513158,0.134943182,0.07300813,0.058697674,0.101452282,0.126,0.1484689,0.113553299,0.117079208,0.048861789,0.02697561,0.050503145,0.06705036,0.023594771,0.003988095,0.000287356,NA,0,0,0.03077748,0.034162562,0.02224,0.037333333,0.028582524,0.025555556,0.011118881,0.010763889,0.006235294,0.025,0.004734513,0.023287197,0.039135802,0.026712329,0.015541195,0.010222222,0.006737805,0.03745583,0.011918367,0.035149007,0.042624822,0.036684492,0.010871369,0.029470752,0.024598338,0.025283308,0.026760563,0.019615385,0.000304636
"ENST00000378680",0.009110106,0.030073937,0.024263566,0.087893519,0.021791667,0.006455505,0.001904762,0.006381579,0.006818182,0.005609756,0,0.000290456,0.004431373,0.005358852,0.006345178,0.005742574,0.024837398,0.001853659,0.002327044,0.004892086,0.013398693,0.02875,0.260517241,NA,0.011111111,0.017,0.001957105,0.006231527,0.008213333,0.005351351,0.003223301,0.005555556,0.017272727,0.001921296,0.008941176,0,0.00420354,0.038529412,0.070864198,0.000236613,0.011195477,0.043944444,0.032073171,0.01975265,0.008204082,0.031622517,0.018830243,0.00459893,0.000746888,0.014791086,0.024238227,0.029984686,0.027816901,0.012051282,0.002172185
"ENST00000378702",0.168793363,0.102236599,0.033837209,0,0,0,0,0.000394737,0,0.012804878,0,0,0.000196078,0,0,0,0.017520325,0.007365854,0,0,0.051111111,0.048253968,1.606149425,NA,0.007777778,0,0,0,0,0.002792793,0,0,0,0.002361111,0.003411765,0,0.069424779,0.012975779,0.00845679,0.037808219,0.002827141,0.011333333,0.036310976,0.01565371,0.002204082,0.172350993,0.076961484,0.001550802,0.005850622,0.00275766,0.000581717,0.072220521,0,0.002692308,0.00389404
"ENST00000378707",0.019321267,0.006192237,0.001046512,0,0,0.011372549,0.093809524,0,0,0.002764228,0.000232558,0.002323651,0.000352941,0,0,0,0.000365854,0.002341463,0.004779874,0,0.010762527,0.00015873,0.000114943,NA,0,0,0.061099196,0.00864532,0.01112,0.005315315,0.013456311,0,0.121748252,0.330578704,0.000588235,0,0.070575221,0.001522491,0.036296296,5.456612702,0.011276252,0.001777778,0.000243902,0.001448763,0.001428571,0.005049669,0.010927247,0.005828877,0.00120332,0.008690808,0.00066482,0.003246554,0,0.001602564,0.000172185
"ENST00000474231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.003185841,0,0.004876543,0.009975093,0,0,0.000213415,0,0,0,1.43e-05,0,0,0,0.000609418,0,0,0,0.000278146
"ENST00000541735",0.113936652,0.071312384,0.014379845,0.512106481,0.450583333,0.880075415,0.292857143,0.204539474,0.366136364,0.142845528,1.33627907,0.988962656,0.308980392,0.559138756,0.207005076,0.335742574,0.209837398,0.12595122,0.091006289,0.129280576,0.045511983,5.95e-05,0.00362069,NA,0.122222222,0.172,0.59769437,0.311921182,0.473146667,0.035513514,0.61631068,0.251111111,0.387878788,0.586597222,0.000117647,0,0.082123894,0.027145329,0.040185185,0.227833126,0.240387722,0.077166667,0.003658537,0.055088339,0.078367347,0.014503311,0.020470756,0.160588235,0.003941909,0.204707521,0.007950139,0.017764165,0.288873239,0.041538462,0.000847682
