Transcript,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24_,Brain_Caudate_basal_ganglia_,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9_,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia_,Brain_Putamen_basal_ganglia_,Brain_Spinal_cord_cervical_c_1_,Brain_Substantia_nigra,Heart_Atrial_Appendage,Heart_Left_Ventricle,Muscle_Skeletal,Pituitary
Dp427c,0.141644737,0.105625,0.100569106,0.050744186,0.177344398,0.18627451,0.09,0.215228426,0.215594059,0.071341463,0.054536585,0.366855346,0.201366906,4.002214452,2.185509259,7.387758406,0.130141343
Dp427m,0.141644737,0.105625,0.100569106,0.050744186,0.177344398,0.18627451,0.09,0.215228426,0.215594059,0.071341463,0.054536585,0.366855346,0.201366906,4.002214452,2.185509259,7.387758406,0.130141343
Dp427p1,0.106513158,0.134943182,0.07300813,0.058697674,0.101452282,0.126,0.1484689,0.113553299,0.117079208,0.048861789,0.02697561,0.050503145,0.06705036,0.011118881,0.010763889,0.026712329,0.03745583
Dp427p2,0.106513158,0.134943182,0.07300813,0.058697674,0.101452282,0.126,0.1484689,0.113553299,0.117079208,0.048861789,0.02697561,0.050503145,0.06705036,0.011118881,0.010763889,0.026712329,0.03745583
Dp260-1,0,0,0.002764228,0.000232558,0.002323651,0.000352941,0,0,0,0.000365854,0.002341463,0.004779874,0,0.121748252,0.330578704,5.456612702,0.001448763
Dp260-2,0,0,0.002764228,0.000232558,0.002323651,0.000352941,0,0,0,0.000365854,0.002341463,0.004779874,0,0.121748252,0.330578704,5.456612702,0.001448763
Dp140,0,0,0.002764228,0.000232558,0.002323651,0.000352941,0,0,0,0.000365854,0.002341463,0.004779874,0,0.121748252,0.330578704,5.456612702,0.001448763
Dp140ab,0.023355263,0.004488636,0.024268293,0.28,0.192489627,0.019215686,0.013014354,0.020152284,0.009653465,0.016219512,0.024195122,0.07427673,0.021798561,0.00974359,0.0025,0,0.025583039
Dp140b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009975093,0
Dp140bc,0.204539474,0.366136364,0.142845528,1.33627907,0.988962656,0.308980392,0.559138756,0.207005076,0.335742574,0.209837398,0.12595122,0.091006289,0.129280576,0.387878788,0.586597222,0.227833126,0.055088339
Dp140c,0.204539474,0.366136364,0.142845528,1.33627907,0.988962656,0.308980392,0.559138756,0.207005076,0.335742574,0.209837398,0.12595122,0.091006289,0.129280576,0.387878788,0.586597222,0.227833126,0.055088339
Dp116,0.441644737,0.474886364,0.872682927,0.225488372,0.270041494,0.480156863,0.519904306,0.255025381,0.232079208,0.421463415,0.644878049,0.350314465,0.246043165,1.403286713,1.934583333,8.26890411,0.088127208
Dp71,0.000394737,0,0.012804878,0,0,0.000196078,0,0,0,0.017520325,0.007365854,0,0,0,0.002361111,0.037808219,0.01565371
Dp71ab,0.061447368,0.069943182,0.195203252,0.005116279,0.000165975,0.079882353,0.109282297,0.033045685,0.048316832,0.12695122,0.119560976,0.043710692,0.044388489,0.075174825,0.025208333,0.012092154,0.150565371
Dp71a,0.000394737,0,0.012804878,0,0,0.000196078,0,0,0,0.017520325,0.007365854,0,0,0,0.002361111,0.037808219,0.01565371
Dp40,0.006381579,0.006818182,0.005609756,0,0.000290456,0.004431373,0.005358852,0.006345178,0.005742574,0.024837398,0.001853659,0.002327044,0.004892086,0.017272727,0.001921296,0.000236613,0.01975265
